week,date,date_end,title,deadline,content,assignment,note
1,8/28/24,,Introduction and Philosophy of Science,,content/01-week1,,
1,8/30/24,,Philosophy of Science,,,,
2,9/2/24,,NO CLASS. Labor Day Holiday.,,content/02-week2,,
2,9/4/24,,Philosophy of Science,,,,
2,9/6/24,,Installing R,,,resource/r,
3,9/9/24,,R101,,content/03-week3,,
3,9/11/24,,R101,,,,
3,9/13/24,,Problem Set 1 Due,9:40 AM,,assignment/pset1,
4,9/16/24,,How Experiments Work,,content/04-week4,,
4,9/18/24,,How Experiments Work,,,,
4,9/20/24,,Problem Set 2 Due,9:40 AM,,assignment/pset2,
5,9/23/24,,Working with Survey Data,,content/05-week5,,
5,9/25/24,,Working with Survey Data,,,,
5,9/27/24,,Problem Set 3 Due,9:40 AM,,assignment/pset3,
6,9/30/24,,Working with Survey Data,,content/06-week6,,
6,10/2/24,,Working with Survey Data,,,,
6,10/4/24,,Problem Set 4 Due,9:40 AM,,assignment/pset4,
7,10/7/24,,Midterm Review,,content/07-week7,,
7,10/9/24,,Midterm Exam,,,,
7,10/11/24,,NO CLASS. Tentatively,,,,
8,10/14/24,,NO CLASS. Fall Break.,,,,
8,10/16/24,,Predictions with Linear Regression,,content/08-week8,,
8,10/18/24,,Predictions with Linear Regression,,,,
9,10/21/24,,Predictions with Linear Regression,,content/09-week9,,
9,10/23/24,,Predictions with Linear Regression,,,,
9,10/25/24,,Problem Set 5 Due,9:40 AM,,assignment/pset5,
10,10/28/24,,Observational Studies,,content/10-week10,,
10,10/30/24,,Observational Studies,,,,
10,11/1/24,,Problem Set 6 Due,9:40 AM,,assignment/pset6,
11,11/4/24,,Probability,,content/11-week11,,
11,11/6/24,,Probability,,,,
11,11/8/24,,Problem Set 7 Due,9:40 AM,,assignment/pset7,
12,11/11/24,,Probability,,content/12-week12,,
12,11/13/24,,Probability,,,,
12,11/15/24,,Problem Set 8 Due,9:40 AM,,assignment/pset8,
13,11/18/24,,How Certain Are We?,,content/13-week13,,
13,11/20/24,,How Certain Are We?,,,,
13,11/22/24,,Problem Set 9 Due,9:40 AM,,assignment/pset9,
14,11/25/24,,How Certain Are We?,,content/14-week14,,
14,11/27/24,11/29/24,Thanksgiving Break,,,,
15,12/2/24,,How Certain Are We?,,content/15-week15,,
15,12/4/24,,How Certain Are We?,,,,
15,12/6/24,,Extra Credit Problem Set Due,9:40 AM,,assignment/pset-extra,
16,12/9/24,,Problem set review,,content/16-week16,,
16,12/11/24,,Final exam review,,,,
17,12/13/24,12/18/24,Final exam,,,,